height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
15.5500 105.2689 0.0000 -58.3693 0.0000 0.0038 0.1316 0.0000 0.0000 0.0000 0.0000 2.4781 0.0000 214.9307 214.9307
15.6500 103.6275 0.0000 -58.6147 0.0000 0.0035 0.1295 0.0000 0.0000 0.0000 0.0000 2.4841 0.0000 214.6853 214.6853
15.7500 101.9935 0.0000 -58.8108 0.0000 0.0031 0.1283 0.0000 0.0000 0.0000 0.0000 2.4901 0.0000 214.4892 214.4892
15.8500 100.3595 0.0000 -59.0069 0.0000 0.0026 0.1272 0.0000 0.0000 0.0000 0.0000 2.4961 0.0000 214.2931 214.2931
15.9500 98.6590 0.0000 -59.0947 0.0000 0.0026 0.1279 0.0000 0.0000 0.0000 0.0000 2.5021 0.0000 214.2053 214.2053
16.0500 96.9398 0.0000 -59.1520 0.0000 0.0026 0.1292 0.0000 0.0000 0.0000 0.0000 2.5081 0.0000 214.1480 214.1480
16.1500 95.2206 0.0000 -59.2093 0.0000 0.0026 0.1306 0.0000 0.0000 0.0000 0.0000 2.5141 0.0000 214.0907 214.0907
16.2500 93.6139 0.0000 -59.1556 0.0000 0.0027 0.1338 0.0000 0.0000 0.0000 0.0000 2.5201 0.0000 214.1444 214.1444
16.3500 92.2826 0.0000 -58.8302 0.0000 0.0028 0.1415 0.0000 0.0000 0.0000 0.0000 2.5261 0.0000 214.4698 214.4698
16.4500 90.9512 0.0000 -58.5047 0.0000 0.0030 0.1497 0.0000 0.0000 0.0000 0.0000 2.5321 0.0000 214.7953 214.7953
16.5500 89.6198 0.0000 -58.1793 0.0000 0.0032 0.1584 0.0000 0.0000 0.0000 0.0000 2.5381 0.0000 215.1207 215.1207
16.6500 88.2885 0.0000 -57.8538 0.0000 0.0034 0.1676 0.0000 0.0000 0.0000 0.0000 2.5441 0.0000 215.4462 215.4462
16.7500 86.9571 0.0000 -57.5284 0.0000 0.0035 0.1773 0.0000 0.0000 0.0000 0.0000 2.5501 0.0000 215.7716 215.7716
16.8500 85.6257 0.0000 -57.2029 0.0000 0.0038 0.1876 0.0000 0.0000 0.0000 0.0000 2.5561 0.0000 216.0970 216.0970
16.9500 84.2639 0.0000 -56.9028 0.0000 0.0040 0.1980 0.0000 0.0000 0.0000 0.0000 2.5621 0.0000 216.3972 216.3972
17.0500 82.8719 0.0000 -56.6628 0.0000 0.0041 0.2075 0.0000 0.0000 0.0000 0.0000 2.5681 0.0000 216.6372 216.6372
17.1500 81.4484 0.0000 -56.8051 0.0000 0.0041 0.2074 0.0000 0.0000 0.0000 0.0000 2.5741 0.0000 216.4948 216.4948
17.2500 80.0249 0.0000 -56.9475 0.0000 0.0041 0.2073 0.0000 0.0000 0.0000 0.0000 2.5801 0.0000 216.3525 216.3525
17.3500 78.6471 0.0000 -57.0265 0.0000 0.0042 0.2089 0.0000 0.0000 0.0000 0.0000 2.5861 0.0000 216.2735 216.2735
17.4500 77.3866 0.0000 -56.9424 0.0000 0.0043 0.2145 0.0000 0.0000 0.0000 0.0000 2.5921 0.0000 216.3576 216.3576
